file_name,zcr_mean,zcr_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_2_mean,spectral_bandwidth_2_std,spectral_bandwidth_3_mean,spectral_bandwidth_3_std,spectral_bandwidth_4_mean,spectral_bandwidth_4_std,spectral_contrast_1_mean,spectral_contrast_2_mean,spectral_contrast_3_mean,spectral_contrast_4_mean,spectral_contrast_5_mean,spectral_contrast_6_mean,spectral_contrast_7_mean,spectral_contrast_1_std,spectral_contrast_2_std,spectral_contrast_3_std,spectral_contrast_4_std,spectral_contrast_5_std,spectral_contrast_6_std,spectral_contrast_7_std,spectral_rolloff_mean,spectral_rolloff_std,mfccs_1_mean,mfccs_2_mean,mfccs_3_mean,mfccs_4_mean,mfccs_5_mean,mfccs_6_mean,mfccs_7_mean,mfccs_8_mean,mfccs_9_mean,mfccs_10_mean,mfccs_11_mean,mfccs_12_mean,mfccs_13_mean,mfccs_14_mean,mfccs_15_mean,mfccs_16_mean,mfccs_17_mean,mfccs_18_mean,mfccs_19_mean,mfccs_20_mean,mfccs_1_std,mfccs_2_std,mfccs_3_std,mfccs_4_std,mfccs_5_std,mfccs_6_std,mfccs_7_std,mfccs_8_std,mfccs_9_std,mfccs_10_std,mfccs_11_std,mfccs_12_std,mfccs_13_std,mfccs_14_std,mfccs_15_std,mfccs_16_std,mfccs_17_std,mfccs_18_std,mfccs_19_std,mfccs_20_std
182_healthy.wav,0.086,0.042,2201.129,703.695,2674.421,446.068,3321.334,350.273,3902.969,286.283,26.034,16.124,18.815,16.623,17.063,18.375,17.031,4.939,3.868,4.421,3.539,2.94,3.239,2.759,5072.143,1730.404,-137.744,100.256,14.399,15.413,2.327,-1.067,-2.105,-1.689,-5.315,-1.783,1.741,-6.185,-3.033,-9.778,-6.662,-3.966,-10.176,-2.967,-3.573,-0.647,62.226,25.008,20.009,18.493,15.149,11.303,12.083,8.914,11.229,10.117,9.705,8.521,8.538,8.406,8.721,7.28,7.522,9.08,6.787,6.688
15_unhealthy.wav,0.114,0.081,2281.768,1007.918,2103.152,438.777,2555.604,353.861,2973.493,290.079,16.512,18.492,20.567,18.094,17.744,18.095,38.741,4.835,5.383,4.871,4.01,3.442,2.627,4.328,4448.172,1700.567,-174.933,90.933,-18.715,41.615,-8.879,9.085,-12.457,13.13,-9.691,4.335,-13.486,6.741,-10.385,7.145,-5.79,0.796,-8.141,-5.717,-3.35,-0.414,59.973,40.546,25.117,16.071,17.555,13.207,14.263,13.02,11.62,10.509,11.022,10.537,10.372,7.86,9.344,8.018,8.784,7.877,6.88,8.201
90_unhealthy.wav,0.121,0.042,2524.195,528.74,2246.571,191.491,2586.79,149.502,2910.575,129.034,16.7,16.137,22.302,20.562,19.476,18.612,42.513,3.894,4.876,5.019,4.773,3.528,2.937,2.821,5235.724,723.517,-89.016,86.218,-24.412,47.093,-33.657,29.465,-19.75,21.636,-16.747,6.539,-13.391,7.486,-12.851,8.588,-7.891,11.498,0.678,9.798,-2.127,0.586,46.849,27.123,16.254,15.212,12.514,8.057,9.262,9.549,9.025,10.094,9.375,11.738,10.566,10.698,9.749,11.415,14.114,13.123,13.427,12.195
105_healthy.wav,0.124,0.071,2735.764,843.832,2860.659,388.636,3432.694,275.848,3942.996,193.065,24.925,15.165,17.763,19.7,17.831,17.25,15.552,4.848,3.989,4.082,4.018,3.0,2.564,1.37,5962.874,1646.239,-20.932,83.246,5.052,16.362,9.399,-0.564,4.04,6.205,9.119,5.864,-3.504,-0.638,-3.169,1.549,-0.916,-2.958,-1.328,-0.877,0.687,-1.772,35.739,22.307,19.493,13.126,10.187,11.502,8.805,6.974,7.144,7.063,6.004,6.208,5.874,6.426,5.71,6.902,6.018,6.611,7.279,6.978
80_unhealthy.wav,0.15,0.048,2573.415,509.785,2321.758,244.903,2677.978,192.775,3010.249,150.724,25.861,14.769,18.384,18.854,18.549,18.607,42.572,4.992,3.652,4.018,3.757,3.263,2.852,3.268,5309.642,948.858,-87.964,93.536,-23.224,48.123,-21.445,27.755,-20.336,18.751,-15.219,16.133,-21.412,10.868,-12.027,5.123,-7.304,4.661,-10.166,5.5,-4.369,0.312,38.627,17.828,14.055,9.646,9.077,8.057,9.846,8.274,7.752,7.457,8.197,6.033,7.253,8.092,6.436,7.11,9.115,7.348,8.694,7.315
18_unhealthy.wav,0.116,0.05,2190.882,526.691,2143.152,315.265,2566.047,265.104,2963.289,217.606,19.132,12.855,15.365,14.427,15.665,16.417,41.744,3.167,3.616,4.025,3.095,2.23,2.531,3.136,4574.132,1124.424,-67.594,109.128,-32.711,45.652,-11.68,27.491,-16.33,22.081,-15.447,19.394,-11.61,11.577,-10.516,4.445,-7.009,5.033,-6.756,3.816,-2.65,-0.067,37.448,21.339,18.692,13.134,9.607,10.915,9.336,6.955,7.806,7.249,7.903,5.973,6.588,5.937,6.363,6.186,6.762,6.413,6.02,5.693
32_unhealthy.wav,0.116,0.041,2329.186,521.074,2374.668,316.794,2927.547,284.353,3452.259,255.441,19.193,16.078,19.031,18.45,19.329,18.139,16.952,4.28,4.174,4.96,3.802,3.216,2.569,1.811,4711.802,1083.01,-26.407,85.884,-17.212,35.312,9.983,10.666,1.399,4.576,-0.121,2.099,0.323,5.393,-1.013,0.373,-1.61,-2.463,-5.958,-1.592,-6.75,-1.347,32.442,22.103,15.283,11.267,12.365,8.535,7.975,7.851,7.184,6.866,9.099,6.603,6.996,5.784,7.246,7.289,6.623,6.842,7.367,7.349
45_unhealthy.wav,0.079,0.028,1528.797,306.834,1565.981,106.588,1959.945,119.759,2435.07,181.873,28.119,16.942,19.138,19.048,19.06,24.441,17.048,4.816,4.056,3.944,3.313,2.972,2.203,2.168,3210.337,567.259,-172.666,142.763,-55.773,79.316,-1.874,4.793,0.245,-11.501,-0.267,-9.363,-7.68,-11.267,-5.684,-11.292,-7.692,-4.286,-11.281,-7.84,-7.723,-8.15,62.391,14.566,20.03,10.293,11.03,8.201,7.337,6.474,5.511,6.728,5.393,5.254,5.057,4.923,4.822,5.106,4.215,4.482,4.563,4.641
160_healthy.wav,0.145,0.128,3694.733,1440.153,3230.396,469.085,3694.748,344.87,4092.673,276.015,21.979,17.536,18.721,18.256,18.348,17.309,15.772,5.694,5.893,5.593,4.318,3.784,2.947,1.599,7603.369,2124.309,-77.925,32.374,20.107,27.61,16.271,5.324,13.488,3.502,7.345,5.269,4.007,5.275,3.754,0.784,0.405,-0.713,3.062,1.409,0.547,-1.901,78.408,41.619,29.161,20.486,14.891,14.544,12.29,11.315,11.436,11.937,10.544,10.204,10.159,9.015,8.719,9.332,7.89,8.241,7.768,9.53
30_unhealthy.wav,0.115,0.061,2898.32,847.214,2830.972,332.16,3235.868,263.24,3616.094,231.997,23.198,15.351,18.64,17.541,18.445,16.87,17.882,3.203,4.451,5.078,4.256,4.065,2.55,1.849,6293.0,1101.187,-131.428,67.745,32.89,34.586,-3.293,21.882,-5.809,10.232,-7.049,2.299,-4.368,-3.317,-6.281,-0.226,-1.961,-1.908,-0.885,0.949,-1.548,-1.173,49.458,28.937,28.43,18.6,11.297,13.742,10.365,8.263,8.37,8.892,7.131,6.812,6.761,6.193,6.474,5.913,5.537,5.379,5.781,5.896
98_unhealthy.wav,0.049,0.028,1333.862,494.847,1791.107,344.315,2357.874,281.672,2893.221,235.267,28.563,17.912,20.563,18.141,19.352,18.158,34.753,5.14,4.903,4.527,3.563,3.231,2.929,4.946,2882.943,1205.744,-225.033,123.657,-9.745,56.614,10.422,20.643,-10.259,15.571,-8.24,12.809,-9.006,7.689,-10.084,-0.252,-5.282,-2.811,-4.422,1.558,-5.046,-3.588,103.76,22.209,24.583,13.778,12.5,14.529,10.342,10.157,8.35,9.624,7.994,8.684,7.528,6.527,6.838,6.805,6.605,5.86,6.868,6.426
65_unhealthy.wav,0.129,0.038,2284.414,425.83,2104.817,275.452,2476.645,262.08,2828.095,254.301,15.316,16.123,18.866,19.518,19.193,18.411,41.361,3.824,4.36,4.338,3.582,3.0,2.386,3.398,4720.451,876.566,-95.258,103.813,-37.014,52.686,-20.753,27.574,-17.527,24.807,-11.295,16.645,-9.247,10.184,-8.784,1.838,-3.953,2.171,-6.698,5.102,-9.701,-3.96,44.528,20.521,19.641,12.488,12.169,9.583,9.523,8.73,9.679,9.975,8.956,7.727,7.25,6.85,6.87,5.974,6.072,5.376,5.97,6.222
68_unhealthy.wav,0.118,0.051,2455.693,529.662,2399.259,212.251,2780.408,159.542,3129.947,125.644,18.173,16.251,18.892,18.558,18.713,18.115,42.092,4.242,4.471,4.485,3.752,3.367,2.934,2.725,5390.329,890.844,-121.125,91.738,-14.72,52.961,-11.417,31.011,-17.49,24.197,-24.776,17.118,-15.88,10.381,-8.631,7.146,-11.84,3.17,-10.363,1.511,-10.358,-2.479,41.123,20.361,15.595,9.159,8.578,9.572,7.923,8.425,8.705,7.714,7.236,7.047,6.218,6.568,6.012,5.645,5.611,5.792,6.343,5.574
177_healthy.wav,0.143,0.082,3519.054,962.754,3312.872,399.273,3731.643,303.524,4094.219,247.319,22.208,16.908,19.284,18.567,17.648,17.267,15.828,4.828,5.271,5.522,3.964,3.374,2.374,1.851,7759.655,1634.871,-38.282,47.847,20.056,23.821,19.781,13.65,14.685,4.559,7.704,8.944,5.423,1.156,1.088,4.389,4.585,2.546,-0.246,4.629,3.011,-1.308,67.616,25.459,20.14,17.036,15.722,15.517,10.708,9.956,8.928,9.509,7.099,6.563,7.323,7.48,6.915,7.08,6.69,6.97,7.992,7.316
26_unhealthy.wav,0.123,0.046,2247.093,480.377,2150.688,240.892,2566.046,192.813,2956.148,159.259,19.328,14.563,17.523,17.318,17.042,18.191,42.583,3.045,3.634,4.202,3.532,2.911,3.355,2.946,4585.115,968.835,-58.982,106.577,-31.804,47.911,-17.425,27.755,-14.01,22.419,-20.55,19.563,-14.581,10.176,-10.946,4.524,-9.725,4.616,-10.113,1.458,-3.005,-0.62,30.852,19.553,13.515,11.165,11.111,9.367,10.023,6.783,7.324,8.096,6.459,5.937,6.943,5.801,7.219,6.56,5.467,5.61,5.76,5.657
137_healthy.wav,0.115,0.091,2925.145,1116.409,3160.814,464.883,3717.688,330.557,4198.836,261.246,22.745,16.13,20.493,18.714,18.619,17.541,15.848,4.791,4.745,4.773,4.495,4.193,3.244,2.096,6847.342,2055.628,-44.171,76.18,22.908,16.796,22.996,3.278,6.906,0.095,6.496,6.542,0.855,2.723,4.515,2.854,1.322,1.802,0.381,-1.107,-0.426,1.564,66.931,28.581,22.549,17.197,12.908,15.275,10.575,8.971,7.987,9.72,6.744,6.663,7.16,7.4,6.853,7.092,8.087,8.774,8.686,8.484
184_healthy.wav,0.084,0.04,2461.066,740.461,2936.499,457.493,3524.87,372.159,4053.65,319.58,21.291,17.412,21.3,21.263,19.408,17.511,15.302,4.488,4.759,4.547,4.323,3.682,3.303,2.067,5930.582,1751.735,-104.463,86.863,28.752,26.619,8.908,5.665,7.754,0.463,6.626,6.567,0.376,2.142,-0.023,-0.36,1.314,1.317,1.938,1.227,-0.124,0.841,45.66,22.549,18.748,16.746,15.415,12.395,9.85,9.818,8.798,9.931,9.301,8.153,8.532,8.251,8.456,7.563,8.224,8.88,9.489,8.24
165_healthy.wav,0.206,0.111,3590.673,1022.788,2904.138,432.986,3336.808,345.562,3714.753,296.167,18.176,13.756,18.878,20.484,19.556,19.685,18.156,6.099,4.69,6.118,5.302,4.347,3.472,2.588,7077.812,1537.809,-88.397,34.345,-11.279,2.195,-4.848,-6.147,0.323,2.441,-8.163,5.64,-9.396,-7.357,-3.951,2.366,1.242,10.83,9.384,5.288,-2.936,-5.576,96.29,38.47,28.926,18.816,13.948,20.026,14.023,10.582,16.911,11.781,12.824,10.587,12.436,15.65,17.681,13.779,14.676,15.61,12.894,10.233
142_healthy.wav,0.075,0.055,1995.588,822.583,2542.805,404.155,3248.954,293.073,3864.876,239.955,25.635,19.608,23.801,22.644,21.515,20.759,18.111,4.98,4.27,4.861,4.674,4.024,3.93,2.633,4375.778,1870.579,-204.719,101.627,26.382,9.19,10.471,5.117,-9.462,9.306,-12.485,-2.48,6.222,-9.485,-2.545,-9.031,-10.175,-4.044,-7.759,-5.142,-1.825,-4.419,57.077,28.888,23.716,14.016,18.243,13.687,14.813,11.116,11.824,11.018,11.297,9.762,10.829,10.97,11.769,10.116,11.602,13.475,12.625,12.899
132_healthy.wav,0.153,0.069,3093.665,779.111,2992.222,348.487,3511.72,241.367,3971.193,183.285,17.234,14.866,18.241,18.563,19.587,17.007,15.156,5.078,4.008,4.05,3.872,4.148,2.354,1.343,6722.864,1486.318,-18.845,71.326,-3.767,-1.409,0.705,-1.059,-1.055,-0.247,0.626,0.427,-1.504,-1.076,2.42,1.245,0.967,-3.588,0.89,-0.505,0.704,1.667,58.092,22.26,16.87,15.726,11.13,11.935,9.296,9.794,10.931,8.956,9.22,8.444,6.865,6.589,7.026,7.348,6.938,6.441,6.259,6.955
11_unhealthy.wav,0.054,0.04,1511.971,695.051,2028.811,419.195,2615.707,328.722,3144.234,265.922,20.669,19.021,20.812,20.885,19.391,18.544,38.535,4.949,4.484,5.089,4.622,3.659,2.796,3.395,3365.633,1548.878,-169.683,119.106,7.162,53.43,4.125,23.133,-5.721,24.987,-9.329,13.475,-14.279,5.959,-13.598,0.753,-10.458,0.084,-4.371,1.172,0.487,-5.829,53.818,24.85,20.002,14.701,11.82,11.245,9.551,8.458,8.283,7.76,7.424,7.226,6.873,7.986,7.156,7.485,8.431,9.837,8.943,8.699
199_healthy.wav,0.183,0.088,3607.81,817.405,3137.208,313.716,3543.056,232.744,3896.336,195.296,20.43,15.537,18.365,18.542,19.06,18.025,15.947,4.968,4.347,4.399,4.856,4.551,4.254,2.08,7513.039,1177.302,-26.94,46.744,8.683,8.587,6.084,12.436,6.975,2.499,1.152,7.257,-3.135,1.264,3.841,4.686,1.707,-0.982,-1.3,-2.679,-1.271,-2.486,66.521,24.307,23.5,19.006,11.04,12.231,12.228,11.645,11.425,9.009,10.225,9.497,10.751,10.052,11.104,9.588,9.625,8.953,8.814,10.108
10_unhealthy.wav,0.072,0.042,1836.568,613.184,2178.29,328.214,2683.419,248.031,3146.527,200.495,20.287,17.457,18.716,19.765,18.737,18.367,41.116,5.269,4.104,4.127,4.014,3.235,2.966,3.232,4157.507,1290.24,-108.948,114.954,-5.211,46.191,-9.137,20.518,-17.024,24.222,-8.051,13.439,-18.378,8.584,-11.401,1.889,-10.554,-0.256,-11.799,-6.499,-4.304,-2.736,51.738,21.432,18.294,13.048,11.192,11.835,10.369,9.243,8.82,7.994,7.296,7.504,6.922,7.089,6.742,5.648,6.748,6.271,6.942,5.754
167_healthy.wav,0.1,0.054,2827.215,951.813,3216.66,439.217,3756.382,276.85,4227.543,203.974,20.363,17.355,20.929,20.445,20.871,19.786,15.747,4.313,4.244,4.912,4.179,4.551,5.143,2.179,6815.159,1992.695,-63.568,79.031,42.745,16.093,15.271,10.789,13.308,3.687,4.927,10.664,-0.016,3.476,3.415,-2.449,0.854,-5.115,-4.292,-1.565,-0.06,2.661,60.412,28.744,25.019,14.53,13.178,12.187,11.269,9.853,10.0,10.405,8.927,9.129,8.618,8.772,8.642,8.642,9.162,8.059,9.519,9.776
62_unhealthy.wav,0.109,0.067,2884.308,976.411,3198.973,460.073,3717.755,316.955,4174.016,244.974,19.049,16.303,20.906,20.619,19.424,18.259,17.888,5.317,4.275,5.609,5.047,4.069,2.815,2.474,6913.357,1808.608,-212.284,65.782,45.208,19.729,11.811,8.059,4.426,4.215,-2.32,-2.201,-1.635,-4.661,-3.723,-6.776,-2.998,-6.512,-10.917,-3.398,-1.207,-3.11,63.949,28.264,27.055,17.774,15.176,11.546,11.016,7.502,7.974,8.357,7.685,5.962,6.788,7.454,6.542,7.168,8.561,9.358,10.476,10.761
17_unhealthy.wav,0.141,0.034,2297.935,397.886,2062.386,264.82,2451.764,237.372,2825.629,203.866,19.938,14.344,17.137,17.959,17.969,18.461,42.764,3.433,3.717,3.714,3.088,3.299,2.799,2.615,4515.678,901.489,-41.407,105.41,-43.935,54.118,-18.419,23.529,-17.622,20.664,-18.465,17.48,-15.18,11.314,-14.159,2.834,-9.473,3.345,-8.206,3.701,-3.681,-0.158,32.17,15.658,14.518,10.858,9.19,7.881,7.887,6.596,7.394,6.163,6.192,5.781,6.354,6.63,6.229,5.966,5.978,5.919,6.45,6.631
115_healthy.wav,0.088,0.036,1958.228,522.854,2285.111,358.045,2921.406,277.678,3512.198,217.094,15.987,15.383,17.785,16.279,18.078,17.105,16.65,3.422,4.326,4.553,2.934,3.106,2.445,1.952,4079.701,1328.305,-135.344,107.813,-13.434,19.037,8.818,12.484,1.02,11.321,2.556,1.233,-6.387,5.866,2.886,1.019,-1.774,-0.504,-1.079,-0.168,-0.9,-2.137,38.976,19.783,21.575,16.767,12.873,9.627,12.07,9.293,7.287,7.334,7.501,6.946,6.525,6.497,5.987,5.357,5.196,5.433,5.674,5.313
43_unhealthy.wav,0.144,0.052,2702.542,626.789,2543.72,413.297,3112.72,361.951,3641.545,304.748,23.827,13.463,16.723,17.497,17.795,18.474,14.666,5.751,3.967,4.396,3.703,3.216,3.05,1.304,5287.967,1397.74,-62.135,75.874,-26.729,18.281,2.459,5.834,11.579,0.01,8.693,5.516,-0.246,2.399,-1.742,-3.167,2.003,-1.413,-5.529,-2.528,0.621,-1.403,68.558,22.962,20.633,14.323,9.012,8.549,10.638,8.45,9.039,7.632,6.236,7.299,7.167,7.548,7.187,6.324,7.267,7.46,6.756,7.361
188_healthy.wav,0.146,0.088,3563.107,971.981,3337.55,332.182,3752.993,244.722,4111.47,213.818,23.603,17.412,19.14,19.582,18.681,16.66,15.333,4.894,4.703,4.87,3.937,3.722,2.733,1.86,7924.277,1300.481,-47.046,55.778,27.64,19.186,15.183,3.178,5.622,1.605,4.136,1.62,-1.583,-3.003,-7.631,-3.841,-8.111,-3.371,-2.267,4.503,1.44,-0.38,43.474,26.66,20.835,15.306,10.526,12.731,9.427,9.98,9.346,7.769,8.654,6.778,8.341,7.198,7.367,7.554,7.438,7.546,7.98,6.44
192_healthy.wav,0.167,0.099,3676.962,875.587,3248.169,350.072,3659.822,278.255,4015.777,237.651,20.419,17.282,18.702,17.749,17.336,15.457,14.78,5.736,5.112,5.411,4.373,3.07,1.97,1.326,7853.174,1249.833,-8.455,42.057,8.262,17.969,14.043,7.357,5.725,-1.893,4.611,2.078,-1.069,-0.66,-2.438,-1.481,-3.761,-1.654,-2.366,0.053,-0.984,-2.602,55.247,21.559,24.48,18.162,14.95,15.054,12.848,10.243,10.029,8.304,8.095,8.038,7.294,6.323,7.488,7.436,8.679,9.041,9.444,8.118
13_unhealthy.wav,0.046,0.039,1569.295,829.91,2227.581,527.914,2804.888,387.555,3311.555,308.907,19.676,18.875,22.873,20.016,18.768,18.944,38.929,4.488,4.677,5.253,5.164,3.8,3.511,3.463,3765.779,2138.558,-211.217,95.752,40.584,68.281,5.305,30.97,-5.277,22.821,-1.623,17.492,-11.495,8.731,-10.457,5.719,-7.895,3.723,-6.636,-1.278,2.782,6.267,68.283,29.282,27.413,16.562,12.757,12.036,10.824,10.89,12.169,8.921,7.771,7.819,7.365,7.42,6.915,6.444,9.023,9.858,10.312,8.786
183_healthy.wav,0.1,0.06,3144.029,792.105,3339.156,291.07,3800.712,207.962,4208.233,197.258,22.235,14.992,17.894,17.0,17.313,16.596,14.801,4.917,3.705,3.728,3.115,2.775,2.562,1.291,7523.19,1316.063,-62.049,64.205,29.867,23.252,16.257,7.444,8.867,6.415,7.411,3.019,1.469,2.979,1.858,0.526,-0.337,0.809,1.293,1.181,0.854,0.101,49.989,21.089,13.782,10.125,10.056,10.17,7.779,8.179,7.303,7.964,6.442,6.269,6.219,6.842,6.545,6.332,6.325,6.694,7.591,8.063
158_healthy.wav,0.154,0.102,3651.69,1025.658,3282.97,403.555,3701.299,300.42,4058.352,245.992,21.446,14.349,18.864,17.153,17.364,17.727,14.708,5.618,4.489,5.211,4.319,3.874,3.543,1.521,7768.091,1635.303,-39.638,33.95,9.583,16.656,14.908,11.197,21.489,9.885,14.735,15.625,2.045,2.58,0.367,1.649,6.927,8.23,9.36,6.964,1.501,-1.123,62.879,24.437,22.938,20.481,15.605,15.542,12.901,12.233,9.797,9.293,9.709,8.451,9.218,7.545,9.008,10.309,12.515,10.845,10.469,11.117
